"gene","original_logFC","original_adj.P.Val","adjusted_logFC","AveExpr","t","adjusted_P.Value","adjusted_adj.P.Val","B","original_sig","adjusted_sig","classification"
"FOXD1",-0.976662273898998,2.48685797937075e-08,-0.476344696497336,6.929668275975,-1.48364777732333,0.146417816701661,0.438596554861212,-5.09985431377261,FALSE,FALSE,"neither"
"FOXD2",-0.513927488396298,1.32488671242277e-05,-0.318287881937418,7.29742961995,-1.19691571495601,0.238987555558571,0.536144408416262,-5.4583722081314,FALSE,FALSE,"neither"
"FOXD3",0.307505758758677,0.010501629309339,0.280702662626569,7.1956568483,0.947691059783258,0.349467889812204,0.622721664436796,-5.71215682585431,FALSE,FALSE,"neither"
"FOXD4L1",-0.126373848400152,0.10186641342712,0.0199090633692496,7.600820016125,0.0953173706234626,0.924579011198269,0.962553968242424,-6.14274104498276,FALSE,FALSE,"neither"
"FOXE1",-0.222084083630684,0.0624538766628214,0.00337514419118836,6.5890106054,0.0112402775783122,0.991092449574048,0.996903115238817,-6.14713509900979,FALSE,FALSE,"neither"
"FOXE3",-0.151818525926753,0.0932273119365974,0.109576870625479,7.744164526975,0.480771229083619,0.63352027745164,0.803104789500477,-6.03418679671603,FALSE,FALSE,"neither"
"FOXF1",-0.147495544121819,0.0978377900484153,0.300811597426966,6.8759062356,1.37238975145456,0.178235322971812,0.476761604886626,-5.24716810119979,FALSE,FALSE,"neither"
"FOXF2",-0.164748098801079,0.178628092313336,0.50768693148664,6.36490043465,1.69319884274,0.0988661851547923,0.368578583554699,-4.79526046855434,FALSE,FALSE,"neither"
"FOXG1",-0.230940218687741,0.0218629022409327,-0.0817795887753112,6.644669287075,-0.306543564292677,0.760916896785455,0.87661511784445,-6.10116349365633,FALSE,FALSE,"neither"
"FOXH1",-0.18592986897918,0.0783939570033143,0.120596881777153,7.4657728391,0.445082842559841,0.658866153509207,0.818234982298254,-6.05029356726828,FALSE,FALSE,"neither"
"FOXI1",-0.434419726298382,0.00119093210549964,-0.538244146131872,6.8944206515,-1.73334760771438,0.0914071574140158,0.354896532303398,-4.73298800700239,FALSE,FALSE,"neither"
"FOXI2",-0.374637954141862,0.000904779198004858,-0.149311334442012,7.782855095225,-0.541479685691834,0.591439325969717,0.778778092883225,-6.00396537640375,FALSE,FALSE,"neither"
"FOXJ1",-0.268935204567462,0.00567331876674549,-0.218878652041344,6.888114068325,-0.890679629913088,0.378877508613366,0.643772256251461,-5.76237267841961,FALSE,FALSE,"neither"
"FOXJ2",0.0822191049136496,0.237467438842144,0.169273509556435,8.188039241325,0.914267536549772,0.366517869677321,0.635339064886938,-5.74196040769755,FALSE,FALSE,"neither"
"FOXJ3",0.563082930202009,7.14886030695502e-06,0.115930397867394,9.7926784389,0.436750158652874,0.664840201878295,0.822060155426509,-6.05388140293579,FALSE,FALSE,"neither"
