gene,logFC,P.Value,adj.P.Val
CPED1,1.1389004736623,1.25848665091716e-06,1.07212668078134e-05
PWWP3B,-1.02957675842482,1.27403929131142e-06,1.08173463466143e-05
B4GALNT1,1.05028264827371,1.31642680420781e-06,1.10840834126885e-05
SLC19A3,-1.03529542067772,1.32061126094106e-06,1.11085203541683e-05
S100B,1.39667782462606,1.34567502732003e-06,1.12864747693134e-05
CDH20,-1.11889762895991,1.36195300950635e-06,1.14009283810271e-05
TGFA,1.24178838131149,1.37382021920873e-06,1.14725574739512e-05
CHN1,1.00787297558905,1.37878002672191e-06,1.15084298184188e-05
MRAP2,-1.06595126993215,1.38143497208895e-06,1.15194923947822e-05
CYTH3,1.07229137068389,1.3890759492886e-06,1.1572071177535e-05
CDO1,-1.51072070107556,1.41317622174105e-06,1.17615358166805e-05
RGS4,-1.50781001796222,1.41711207502668e-06,1.17886308382441e-05
RAB10,1.28519708996145,1.43343801265877e-06,1.18890902993417e-05
CD1C,-1.26948031244333,1.43399115452587e-06,1.18890902993417e-05
ERRFI1,-1.16206369362375,1.44575974552609e-06,1.19794913952335e-05
DACT1,-1.21795728670701,1.45620964679652e-06,1.20502391402531e-05
SNX2,1.15149700894218,1.45789266935081e-06,1.20562032749482e-05
OAS3,1.31645209401311,1.46047999024501e-06,1.20682867291204e-05
NETO1,-1.02537417227834,1.46213100628478e-06,1.20761706753588e-05
SPART,1.15332915309561,1.48691876887229e-06,1.22575301746046e-05
HERC5,1.10580901927988,1.51969323148613e-06,1.24802105759202e-05
RHBDF2,1.01552015587047,1.55724201899938e-06,1.27282498609534e-05
INSC,1.28895337975945,1.5714264089858e-06,1.28079382948758e-05
CLC,-1.33721065248265,1.593342463603e-06,1.29500179218165e-05
DOCK2,1.02056451641018,1.63853993184864e-06,1.32443457723187e-05
GABRE,1.17286254321974,1.64223272085604e-06,1.32603022306586e-05
AK5,1.29383286460448,1.6494188069353e-06,1.33059260179586e-05
MAP2,1.39655834052429,1.69559975522398e-06,1.36277145447686e-05
IKZF2,1.30870720842328,1.71626461679325e-06,1.37618849050409e-05
GNG7,1.07976076611797,1.73433531341819e-06,1.38605728267342e-05
MEDAG,-1.4136126145451,1.73674664598385e-06,1.3861974150902e-05
CAPN6,-1.6045346820825,1.74470050228749e-06,1.39126416491659e-05
EPSTI1,1.27149715302467,1.76726168463451e-06,1.40601976452465e-05
OGFRL1,1.26890019130224,1.79058169134616e-06,1.42065931994717e-05
PCDH18,-1.69053627265767,1.80045361856501e-06,1.42605225189138e-05
PTBP2,1.03809171303855,1.83621247342851e-06,1.44937194415604e-05
KATNAL1,1.04260850784657,1.83729243014915e-06,1.44937194415604e-05
FRYL,1.06012739577024,1.84250429265371e-06,1.45219993320216e-05
FAM229B,1.34757613064842,1.84348827963768e-06,1.45219993320216e-05
WASHC5,1.01066224809946,1.86444787617222e-06,1.46650716288299e-05
SCAPER,1.03004876519815,1.91433964514706e-06,1.49759265783784e-05
TM2D2,1.05312256341172,1.92482374840112e-06,1.50240296902228e-05
EGF,-1.02004934140941,1.93333822773454e-06,1.50769058551684e-05
LRRTM4,1.39685791966307,1.94316851899746e-06,1.51334772379385e-05
SNX14,1.10613831474942,1.94783004088634e-06,1.51558145255853e-05
