gene,module,direction,discovery_logFC,validation_logFC,direction_concordant
RASGRF2,yellow,down,-1.24940015540169,-3.23351415740741,TRUE
RASSF4,turquoise,up,2.73019276535235,2.33120337962963,TRUE
RCAN3,turquoise,up,1.44529347103932,0.790328259259259,TRUE
RDX,turquoise,up,1.26339208701619,1.25520194444444,TRUE
RERG,yellow,down,-1.1475598640825,-1.77178437962963,TRUE
RFTN2,turquoise,up,1.38277049298458,-0.074340833333336,FALSE
RIMOC1,turquoise,up,1.07190713618042,0.353675249999997,TRUE
RNF213,turquoise,up,1.12285428328759,1.19074961111111,TRUE
RPS6KA5,turquoise,up,1.34330907422205,-0.163495925925925,FALSE
RRN3P2,turquoise,up,1.23439689458597,0.306423240740738,TRUE
RTKN,turquoise,up,1.15191823645798,0.46704437962963,TRUE
RUNX1T1,yellow,down,-1.25127924548111,-3.39313024074074,TRUE
SAMD9,turquoise,up,1.52994065918427,1.24834081481481,TRUE
SAMD9L,turquoise,up,1.75634801644025,1.63699546296296,TRUE
SCAPER,turquoise,up,1.03004876519815,-0.109849092592594,FALSE
SCRN3,turquoise,up,1.02686155242097,0.268922175925926,TRUE
SELENBP1,yellow,down,-1.123085327936,-1.18334766666667,TRUE
SELENOI,turquoise,up,1.11266681928836,0.785439018518519,TRUE
SELP,yellow,down,-1.33888889006399,-1.29254119444444,TRUE
SEMA3B,turquoise,up,2.39043737306477,1.64872787037037,TRUE
SEMA7A,turquoise,up,1.91564438326138,2.83697056481481,TRUE
SETDB2,turquoise,up,1.2219341793963,0.222915500000003,TRUE
SFRP2,yellow,down,-2.39893537465767,-7.8385142037037,TRUE
SGMS1,turquoise,up,1.28117446221049,1.08911648148148,TRUE
SIPA1L1,turquoise,up,1.37025542402082,1.17921811111111,TRUE
SKA2,turquoise,up,1.01175878308019,0.983379814814812,TRUE
SLC12A4,turquoise,up,1.02475769729915,0.528441944444445,TRUE
SLC16A4,turquoise,up,1.96911780117194,1.3439252962963,TRUE
SLC22A3,yellow,down,-2.40984635234079,-7.74590768518519,TRUE
SLC30A4,turquoise,up,1.37861264631303,0.670563712962961,TRUE
SLC35D2,turquoise,up,1.50765021809869,0.885589444444447,TRUE
SLC39A6,turquoise,up,1.34301797992907,0.835918240740742,TRUE
SLC44A2,turquoise,up,1.3692091421542,1.31330101851852,TRUE
SLIT3,yellow,down,-1.04149713925983,-3.11117056481482,TRUE
SLITRK2,turquoise,up,1.49826400754511,0.903500296296297,TRUE
SLU7,turquoise,up,1.14783061384889,-0.188978518518518,FALSE
SNED1,yellow,down,-1.05887672816191,-1.2161102962963,TRUE
SNX14,turquoise,up,1.10613831474942,0.435306703703704,TRUE
SNX24,turquoise,up,1.75866759705397,1.22886909259259,TRUE
SOS2,turquoise,up,1.08359068570779,1.1094149074074,TRUE
SOX2,turquoise,up,2.84800859849422,0.625017129629628,TRUE
SPART,turquoise,up,1.15332915309561,0.667491787037038,TRUE
SPATA13,turquoise,up,1.82196172314495,0.649712796296296,TRUE
ST3GAL6,turquoise,up,1.81691024336315,1.47223887037037,TRUE
STARD13,turquoise,up,1.66371633774325,1.49440588888889,TRUE
STEAP4,yellow,down,-2.09997566582961,-4.33237487037037,TRUE
SUCLG2,turquoise,up,1.24644320774788,0.0936923518518498,TRUE
SVEP1,yellow,down,-1.34692083451966,-3.48425338888889,TRUE
SYNPO2,yellow,down,-1.3861009854441,-4.13112672222222,TRUE
TAGLN,yellow,down,-1.38462752545412,-5.63272890740741,TRUE
TANC1,turquoise,up,1.46872624225367,0.863708564814816,TRUE
TANC2,turquoise,up,1.15218176796608,0.872457231481484,TRUE
TBX18,yellow,down,-1.19975462938165,-2.25189981481481,TRUE
TCEAL1,turquoise,up,1.11575581138165,-0.0925207592592567,FALSE
TDRD7,turquoise,up,1.45049558940787,0.717508287037036,TRUE
TEX2,turquoise,up,1.20233029983269,0.59925141666667,TRUE
TFPI,yellow,down,-1.3801771368219,-3.65743214814815,TRUE
TGFB3,yellow,down,-1.58682676318504,-0.615790444444445,TRUE
